Freq.	1/I(Vin)
1.00000000000000e+05	-2.87199541155143e-03,-2.71859773415847e+00
1.00010001000100e+05	-2.87281980383035e-03,-2.72193562778537e+00
1.00020002000200e+05	-2.87364667514238e-03,-2.72527425242809e+00
1.00030003000300e+05	-2.87447602760130e-03,-2.72861361119160e+00
1.00040004000400e+05	-2.87530786333111e-03,-2.73195370718320e+00
1.00050005000500e+05	-2.87614218446606e-03,-2.73529454351256e+00
1.00060006000600e+05	-2.87697899315068e-03,-2.73863612329173e+00
1.00070007000700e+05	-2.87781829153977e-03,-2.74197844963517e+00
1.00080008000800e+05	-2.87866008179840e-03,-2.74532152565971e+00
1.00090009000900e+05	-2.87950436610201e-03,-2.74866535448465e+00
1.00100010001000e+05	-2.88035114663632e-03,-2.75200993923168e+00
1.00110011001100e+05	-2.88120042559742e-03,-2.75535528302497e+00
1.00120012001200e+05	-2.88205220519176e-03,-2.75870138899111e+00
1.00130013001300e+05	-2.88290648763620e-03,-2.76204826025920e+00
1.00140014001400e+05	-2.88376327515798e-03,-2.76539589996081e+00
1.00150015001500e+05	-2.88462256999476e-03,-2.76874431123000e+00
1.00160016001600e+05	-2.88548437439464e-03,-2.77209349720333e+00
1.00170017001700e+05	-2.88634869061620e-03,-2.77544346101992e+00
1.00180018001800e+05	-2.88721552092845e-03,-2.77879420582140e+00
1.00190019001900e+05	-2.88808486761095e-03,-2.78214573475195e+00
1.00200020002000e+05	-2.88895673295373e-03,-2.78549805095833e+00
1.00210021002100e+05	-2.88983111925736e-03,-2.78885115758984e+00
1.00220022002200e+05	-2.89070802883297e-03,-2.79220505779840e+00
1.00230023002300e+05	-2.89158746400225e-03,-2.79555975473854e+00
1.00240024002400e+05	-2.89246942709748e-03,-2.79891525156736e+00
1.00250025002500e+05	-2.89335392046155e-03,-2.80227155144464e+00
1.00260026002600e+05	-2.89424094644798e-03,-2.80562865753278e+00
1.00270027002700e+05	-2.89513050742090e-03,-2.80898657299681e+00
1.00280028002800e+05	-2.89602260575516e-03,-2.81234530100447e+00
1.00290029002900e+05	-2.89691724383625e-03,-2.81570484472615e+00
1.00300030003000e+05	-2.89781442406037e-03,-2.81906520733495e+00
1.00310031003100e+05	-2.89871414883446e-03,-2.82242639200667e+00
1.00320032003200e+05	-2.89961642057620e-03,-2.82578840191985e+00
1.00330033003300e+05	-2.90052124171400e-03,-2.82915124025573e+00
1.00340034003400e+05	-2.90142861468709e-03,-2.83251491019833e+00
1.00350035003500e+05	-2.90233854194548e-03,-2.83587941493441e+00
1.00360036003600e+05	-2.90325102595002e-03,-2.83924475765351e+00
1.00370037003700e+05	-2.90416606917239e-03,-2.84261094154798e+00
1.00380038003800e+05	-2.90508367409513e-03,-2.84597796981294e+00
1.00390039003900e+05	-2.90600384321167e-03,-2.84934584564633e+00
1.00400040004000e+05	-2.90692657902634e-03,-2.85271457224893e+00
1.00410041004100e+05	-2.90785188405439e-03,-2.85608415282437e+00
1.00420042004200e+05	-2.90877976082204e-03,-2.85945459057912e+00
1.00430043004300e+05	-2.90971021186644e-03,-2.86282588872253e+00
1.00440044004400e+05	-2.91064323973575e-03,-2.86619805046681e+00
1.00450045004500e+05	-2.91157884698913e-03,-2.86957107902709e+00
1.00460046004600e+05	-2.91251703619678e-03,-2.87294497762141e+00
1.00470047004700e+05	-2.91345780993993e-03,-2.87631974947073e+00
1.00480048004800e+05	-2.91440117081090e-03,-2.87969539779893e+00
1.00490049004900e+05	-2.91534712141310e-03,-2.88307192583288e+00
1.00500050005000e+05	-2.91629566436106e-03,-2.88644933680238e+00
1.00510051005100e+05	-2.91724680228043e-03,-2.88982763394023e+00
1.00520052005200e+05	-2.91820053780802e-03,-2.89320682048221e+00
1.00530053005300e+05	-2.91915687359186e-03,-2.89658689966711e+00
1.00540054005400e+05	-2.92011581229112e-03,-2.89996787473674e+00
1.00550055005500e+05	-2.92107735657624e-03,-2.90334974893596e+00
1.00560056005600e+05	-2.92204150912891e-03,-2.90673252551266e+00
1.00570057005700e+05	-2.92300827264205e-03,-2.91011620771780e+00
1.00580058005800e+05	-2.92397764981992e-03,-2.91350079880542e+00
1.00590059005900e+05	-2.92494964337806e-03,-2.91688630203263e+00
1.00600060006000e+05	-2.92592425604335e-03,-2.92027272065968e+00
1.00610061006100e+05	-2.92690149055407e-03,-2.92366005794991e+00
1.00620062006200e+05	-2.92788134965982e-03,-2.92704831716981e+00
1.00630063006300e+05	-2.92886383612167e-03,-2.93043750158900e+00
1.00640064006400e+05	-2.92984895271206e-03,-2.93382761448027e+00
1.00650065006500e+05	-2.93083670221495e-03,-2.93721865911959e+00
1.00660066006600e+05	-2.93182708742571e-03,-2.94061063878613e+00
1.00670067006700e+05	-2.93282011115125e-03,-2.94400355676223e+00
1.00680068006800e+05	-2.93381577621000e-03,-2.94739741633347e+00
1.00690069006900e+05	-2.93481408543192e-03,-2.95079222078868e+00
1.00700070007000e+05	-2.93581504165857e-03,-2.95418797341989e+00
1.00710071007100e+05	-2.93681864774307e-03,-2.95758467752244e+00
1.00720072007200e+05	-2.93782490655019e-03,-2.96098233639490e+00
1.00730073007300e+05	-2.93883382095633e-03,-2.96438095333917e+00
1.00740074007400e+05	-2.93984539384955e-03,-2.96778053166045e+00
1.00750075007500e+05	-2.94085962812963e-03,-2.97118107466722e+00
1.00760076007600e+05	-2.94187652670804e-03,-2.97458258567133e+00
1.00770077007700e+05	-2.94289609250801e-03,-2.97798506798797e+00
1.00780078007800e+05	-2.94391832846451e-03,-2.98138852493569e+00
1.00790079007900e+05	-2.94494323752434e-03,-2.98479295983642e+00
1.00800080008000e+05	-2.94597082264609e-03,-2.98819837601547e+00
1.00810081008100e+05	-2.94700108680021e-03,-2.99160477680158e+00
1.00820082008200e+05	-2.94803403296899e-03,-2.99501216552688e+00
1.00830083008300e+05	-2.94906966414664e-03,-2.99842054552696e+00
1.00840084008400e+05	-2.95010798333928e-03,-3.00182992014085e+00
1.00850085008500e+05	-2.95114899356497e-03,-3.00524029271106e+00
1.00860086008600e+05	-2.95219269785374e-03,-3.00865166658355e+00
1.00870087008700e+05	-2.95323909924763e-03,-3.01206404510780e+00
1.00880088008800e+05	-2.95428820080068e-03,-3.01547743163680e+00
1.00890089008900e+05	-2.95534000557899e-03,-3.01889182952705e+00
1.00900090009000e+05	-2.95639451666073e-03,-3.02230724213858e+00
1.00910091009100e+05	-2.95745173713618e-03,-3.02572367283503e+00
1.00920092009200e+05	-2.95851167010773e-03,-3.02914112498353e+00
1.00930093009300e+05	-2.95957431868995e-03,-3.03255960195486e+00
1.00940094009400e+05	-2.96063968600958e-03,-3.03597910712338e+00
1.00950095009500e+05	-2.96170777520554e-03,-3.03939964386705e+00
1.00960096009600e+05	-2.96277858942903e-03,-3.04282121556746e+00
1.00970097009700e+05	-2.96385213184348e-03,-3.04624382560986e+00
1.00980098009800e+05	-2.96492840562462e-03,-3.04966747738318e+00
1.00990099009900e+05	-2.96600741396050e-03,-3.05309217427996e+00
1.01000100010000e+05	-2.96708916005152e-03,-3.05651791969652e+00
1.01010101010100e+05	-2.96817364711043e-03,-3.05994471703279e+00
1.01020102010200e+05	-2.96926087836240e-03,-3.06337256969248e+00
1.01030103010300e+05	-2.97035085704501e-03,-3.06680148108304e+00
1.01040104010400e+05	-2.97144358640832e-03,-3.07023145461566e+00
1.01050105010500e+05	-2.97253906971486e-03,-3.07366249370528e+00
1.01060106010600e+05	-2.97363731023967e-03,-3.07709460177066e+00
1.01070107010700e+05	-2.97473831127033e-03,-3.08052778223431e+00
1.01080108010800e+05	-2.97584207610700e-03,-3.08396203852260e+00
1.01090109010901e+05	-2.97694860806243e-03,-3.08739737406569e+00
1.01100110011001e+05	-2.97805791046200e-03,-3.09083379229762e+00
1.01110111011101e+05	-2.97916998664374e-03,-3.09427129665628e+00
1.01120112011201e+05	-2.98028483995839e-03,-3.09770989058343e+00
