f,z10r,z10i
1.00000000000000e+05,-5.52207019469195e-02,-1.30557116694656e+01
1.00010001000100e+05,-5.36157781513699e-02,-1.31227535308313e+01
1.00020002000200e+05,-5.21147183500790e-02,-1.31878403167238e+01
1.00030003000300e+05,-5.07094464026143e-02,-1.32510973667279e+01
1.00040004000400e+05,-4.93926713216298e-02,-1.33126403873545e+01
1.00050005000500e+05,-4.81577978998333e-02,-1.33725763788840e+01
1.00060006000600e+05,-4.69988489991712e-02,-1.34310044578186e+01
1.00070007000700e+05,-4.59103977957608e-02,-1.34880165884256e+01
1.00080008000800e+05,-4.48875085499161e-02,-1.35436982348998e+01
1.00090009000900e+05,-4.39256846978160e-02,-1.35981289440373e+01
1.00100010001000e+05,-4.30208232492706e-02,-1.36513828669227e+01
1.00110011001100e+05,-4.21691746316973e-02,-1.37035292269713e+01
1.00120012001200e+05,-4.13673072502347e-02,-1.37546327406726e+01
1.00130013001300e+05,-4.06120761421806e-02,-1.38047539965390e+01
1.00140014001400e+05,-3.99005951947242e-02,-1.38539497970452e+01
1.00150015001500e+05,-3.92302124712077e-02,-1.39022734677273e+01
1.00160016001600e+05,-3.85984882554445e-02,-1.39497751370861e+01
1.00170017001700e+05,-3.80031754779884e-02,-1.39965019904824e+01
1.00180018001800e+05,-3.74422022343368e-02,-1.40424985008218e+01
1.00190019001900e+05,-3.69136561441781e-02,-1.40878066384910e+01
1.00200020002000e+05,-3.64157703342135e-02,-1.41324660627122e+01
1.00210021002100e+05,-3.59469108555925e-02,-1.41765142962284e+01
1.00220022002200e+05,-3.55055653714086e-02,-1.42199868850152e+01
1.00230023002300e+05,-3.50903329706984e-02,-1.42629175445163e+01
1.00240024002400e+05,-3.46999149834171e-02,-1.43053382937359e+01
1.00250025002500e+05,-3.43331066864162e-02,-1.43472795783741e+01
1.00260026002600e+05,-3.39887898039311e-02,-1.43887703840573e+01
1.00270027002700e+05,-3.36659257177000e-02,-1.44298383406098e+01
1.00280028002800e+05,-3.33635493119575e-02,-1.44705098182063e+01
1.00290029002900e+05,-3.30807633873615e-02,-1.45108100161597e+01
1.00300030003000e+05,-3.28167335855316e-02,-1.45507630450220e+01
1.00310031003100e+05,-3.25706837726049e-02,-1.45903920026042e+01
1.00320032003200e+05,-3.23418918360375e-02,-1.46297190444626e+01
1.00330033003300e+05,-3.21296858540181e-02,-1.46687654493449e+01
1.00340034003400e+05,-3.19334406013524e-02,-1.47075516800398e+01
1.00350035003500e+05,-3.17525743596455e-02,-1.47460974400307e+01
1.00360036003600e+05,-3.15865460030731e-02,-1.47844217263196e+01
1.00370037003700e+05,-3.14348523341233e-02,-1.48225428787487e+01
1.00380038003800e+05,-3.12970256463998e-02,-1.48604786261201e+01
1.00390039003900e+05,-3.11726314939834e-02,-1.48982461293839e+01
1.00400040004000e+05,-3.10612666489771e-02,-1.49358620221447e+01
1.00410041004100e+05,-3.09625572307589e-02,-1.49733424487105e+01
1.00420042004200e+05,-3.08761569921455e-02,-1.50107030998899e+01
1.00430043004300e+05,-3.08017457491676e-02,-1.50479592467280e+01
1.00440044004400e+05,-3.07390279425033e-02,-1.50851257723517e+01
1.00450045004500e+05,-3.06877313198027e-02,-1.51222172020835e+01
1.00460046004600e+05,-3.06476057292122e-02,-1.51592477319710e+01
1.00470047004700e+05,-3.06184220153663e-02,-1.51962312558632e+01
1.00480048004800e+05,-3.05999710099732e-02,-1.52331813911594e+01
1.00490049004900e+05,-3.05920626098984e-02,-1.52701115033456e+01
1.00500050005000e+05,-3.05945249363487e-02,-1.53070347294208e+01
